reviewers,messages,len_messages,churn,revisions,files,duration,len_description,inline_comments,,,,,,,,,,,,,,,,,
6,32,18545,135,10,2,1092.499,192,3,,,,,,,,,,,,,,,,,
6,23,1365,87,6,1,4774.47,300,22,,,,,,,,,,,,,,,,,
7,14,961,44,4,2,3869.713,276,16,,,,,,,,,,,,,,,,,
4,5,227,95,3,2,47.2675,365,0,,,,,,,,,,,,,,,,,
5,8,782,17,4,2,239.4525,605,3,,,,,,,,,,,,,,,,,
2,1,77,19,1,5,228.4483,264,3,,,,,,,,,,,,,,,,,
3,8,1006,146,2,3,20.97694,542,8,,,,,,,,,,,,,,,,,
3,2,110,15,1,1,212.7619,269,4,,,,,,,,,,,,,,,,,
4,7,478,67,2,1,169.7972,394,4,,,,,,,,,,,,,,,,,
1,2,66,415,1,8,113.8808,382,0,,,,,,,,,,,,,,,,,
5,11,1450,43,4,3,521.1317,493,4,,,,,,,,,,,,,,,,,
0,1,22,2,1,1,0.011389,218,0,,,,,,,,,,,,,,,,,
3,3,140,118,1,9,70.43611,81,14,,,,,,,,,,,,,,,,,
7,4,234,27,1,2,7.9,304,0,,,,,,,,,,,,,,,,,
0,1,22,539,1,9,16.15417,98,0,,,,,,,,,,,,,,,,,
4,11,688,30,2,2,3.271111,572,6,,,,,,,,,,,,,,,,,
4,26,2042,2914,7,28,2324.108,800,0,,,,,,,,,,,,,,,,,
8,14,836,681,6,6,568.3536,306,6,,,,,,,,,,,,,,,,,
0,2,182,483,1,2,0.922778,302,0,,,,,,,,,,,,,,,,,
0,2,51,28,1,1,2.763611,133,0,,,,,,,,,,,,,,,,,
5,2,140,8,1,1,96.255,242,0,,,,,,,,,,,,,,,,,
5,24,12088,258,6,5,230.8403,305,30,,,,,,,,,,,,,,,,,
5,6,440,6,1,1,877.9728,91,1,,,,,,,,,,,,,,,,,
10,19,1545,5,2,1,1661.989,189,6,,,,,,,,,,,,,,,,,
4,6,493,40,1,1,761.3658,233,5,,,,,,,,,,,,,,,,,
12,32,2771,564,16,4,528.7253,282,11,,,,,,,,,,,,,,,,,
6,4,353,76,1,2,136.1403,254,0,,,,,,,,,,,,,,,,,
5,5,841,441,1,1,204.6372,246,0,,,,,,,,,,,,,,,,,
3,5,855,978,2,38,8.797222,899,0,,,,,,,,,,,,,,,,,
0,1,29,163,1,10,95.41111,76,0,,,,,,,,,,,,,,,,,
3,11,723,11,6,1,143.9642,383,0,,,,,,,,,,,,,,,,,
8,30,1377,786,14,1,3663.728,194,8,,,,,,,,,,,,,,,,,
5,11,971,360,5,4,164.0789,242,13,,,,,,,,,,,,,,,,,
1,2,50,346,2,1,347.7858,143,0,,,,,,,,,,,,,,,,,
